Jour	Mois	Année	Heure	Minute	Seconde	Temp(°C) Hum(%) Lum(%)
21	3	26	8	50	16	0.0	0.0	0
21	3	26	8	50	17	17.1	64.0	55
21	3	26	8	50	18	17.1	64.0	55
21	3	26	8	50	19	17.1	64.0	55
21	3	26	8	50	20	17.1	64.0	55
21	3	26	8	50	21	17.1	64.0	56
21	3	26	8	50	22	17.1	64.0	56
21	3	26	8	50	23	17.1	64.0	57
21	3	26	8	50	24	17.1	64.0	56
21	3	26	8	50	25	17.1	64.0	56
21	3	26	8	50	26	17.1	64.0	56
21	3	26	8	50	27	17.1	64.0	61
21	3	26	8	50	28	17.1	64.0	68
21	3	26	8	50	29	17.1	64.0	62
21	3	26	8	50	30	17.1	64.0	60
21	3	26	8	50	31	17.1	64.0	59
21	3	26	8	50	32	17.1	64.0	60
21	3	26	8	50	33	17.0	64.0	57
21	3	26	8	50	34	17.0	64.0	56
21	3	26	8	50	35	17.1	64.0	56
21	3	26	8	50	36	17.1	64.0	60
21	3	26	8	50	37	17.0	64.0	56
21	3	26	8	50	38	17.0	64.0	56
21	3	26	8	50	39	17.0	64.0	56
21	3	26	8	50	40	17.0	64.0	56
21	3	26	8	50	41	17.0	64.0	57
21	3	26	8	50	42	17.0	64.0	57
21	3	26	8	50	43	17.0	64.0	57
21	3	26	8	50	44	17.0	64.0	57
21	3	26	8	50	45	17.0	64.0	56
21	3	26	8	50	46	17.0	64.0	63
21	3	26	8	50	47	17.0	64.0	63
21	3	26	8	50	48	17.0	64.0	63
21	3	26	8	50	49	17.0	64.0	63
21	3	26	8	50	50	17.0	64.0	63
21	3	26	8	50	51	17.0	64.0	63
21	3	26	8	50	52	17.0	64.0	63
21	3	26	8	50	53	17.0	64.0	70
21	3	26	8	50	54	17.0	64.0	81
21	3	26	8	50	55	17.0	64.0	93
21	3	26	8	50	56	17.0	64.0	89
21	3	26	8	50	57	17.0	64.0	84
21	3	26	8	50	58	17.0	64.0	61
21	3	26	8	50	59	17.0	64.0	75
21	3	26	8	51	0	17.0	64.0	78
21	3	26	8	51	1	17.0	64.0	44
21	3	26	8	51	2	17.0	64.0	48
21	3	26	8	51	3	17.0	64.0	43
21	3	26	8	51	4	17.0	64.0	35
21	3	26	8	51	5	17.0	64.0	34
21	3	26	8	51	6	17.0	64.0	33
21	3	26	8	51	7	17.0	64.0	33
21	3	26	8	51	8	17.0	64.0	31
21	3	26	8	51	9	17.0	64.0	30
21	3	26	8	51	10	17.0	64.0	30
21	3	26	8	51	11	17.0	64.0	30
21	3	26	8	51	12	17.0	64.0	31
21	3	26	8	51	13	17.0	64.0	31
21	3	26	8	51	14	17.0	64.0	31
21	3	26	8	51	15	17.0	64.0	36
21	3	26	8	51	16	17.0	64.0	36
21	3	26	8	51	17	17.0	64.0	35
21	3	26	8	51	18	17.0	64.0	37
21	3	26	8	51	19	17.0	64.0	34
21	3	26	8	51	20	17.0	64.0	42
21	3	26	8	51	21	17.0	64.0	41
21	3	26	8	51	22	17.0	64.0	41
21	3	26	8	51	23	17.0	64.0	40
21	3	26	8	51	24	17.0	64.0	40
21	3	26	8	51	25	17.0	64.0	40
21	3	26	8	51	26	17.0	64.0	41
21	3	26	8	51	27	17.0	64.0	43
21	3	26	8	51	28	17.0	64.0	52
21	3	26	8	51	29	17.0	64.0	45
21	3	26	8	51	30	17.0	64.0	45
21	3	26	8	51	31	17.0	64.0	45
21	3	26	8	51	32	17.0	64.0	45
21	3	26	8	51	33	17.0	64.0	45
21	3	26	8	51	34	17.0	64.0	46
21	3	26	8	51	35	17.0	64.0	45
21	3	26	8	51	36	17.0	64.0	54
21	3	26	8	51	37	17.0	64.0	53
21	3	26	8	51	38	17.0	64.0	46
21	3	26	8	51	39	17.0	64.0	45
21	3	26	8	51	40	17.0	64.0	45
21	3	26	8	51	41	17.0	64.0	43
21	3	26	8	51	42	17.0	64.0	43
21	3	26	8	51	43	17.1	64.0	48
21	3	26	8	51	44	17.1	64.0	48
21	3	26	8	51	45	17.0	64.0	48
21	3	26	8	51	46	17.0	64.0	48
21	3	26	8	51	47	17.0	64.0	48
21	3	26	8	51	48	17.0	64.0	46
21	3	26	8	51	49	17.0	64.0	45
21	3	26	8	51	50	17.0	64.0	43
21	3	26	8	51	51	17.0	64.0	44
21	3	26	8	51	52	17.0	64.0	39
21	3	26	8	51	53	17.0	64.0	35
